date,time,dataset_name,img_count,state_name,time_sec,space_bytes
2017-05-12,10:33:12,ox5k_100,100,Preprocess,5,47167931
2017-05-12,10:33:43,ox5k_100,100,Descriptor,31,12800005
2017-05-12,10:35:48,ox5k_100,100,Cluster,125,5120033
2017-05-12,10:35:51,ox5k_100,100,Assign,2,400000
2017-05-12,10:35:53,ox5k_100,100,Hamm,1,2592784
2017-05-12,10:37:42,ox5k_100,100,Index,109,8404388
2017-05-12,10:38:58,ox5k_300,300,Preprocess,17,139391063
2017-05-12,10:40:10,ox5k_300,300,Descriptor,72,38400005
2017-05-12,10:49:45,ox5k_300,300,Cluster,574,15360033
2017-05-12,10:49:57,ox5k_300,300,Assign,11,1200000
2017-05-12,10:50:00,ox5k_300,300,Hamm,2,7712785
2017-05-12,10:54:18,ox5k_300,300,Index,257,18135557
2017-05-12,10:58:17,ox5k_700,700,Preprocess,36,318131672
2017-05-12,11:00:49,ox5k_700,700,Descriptor,152,89600005
2017-05-12,11:24:43,ox5k_700,700,Cluster,1434,35840033
2017-05-12,11:25:13,ox5k_700,700,Assign,29,2800000
2017-05-12,11:25:18,ox5k_700,700,Hamm,4,17952785
2017-05-12,11:36:52,ox5k_700,700,Index,693,52665391
2017-05-12,11:57:02,ox5k_1100,1100,Preprocess,73,496442190
2017-05-12,12:00:40,ox5k_1100,1100,Descriptor,217,140800005
2017-05-12,12:39:18,ox5k_1100,1100,Cluster,2318,56320033
2017-05-12,12:40:11,ox5k_1100,1100,Assign,52,4400000
2017-05-12,12:40:20,ox5k_1100,1100,Hamm,8,28192785
2017-05-12,12:59:26,ox5k_1100,1100,Index,1146,82591178
